"","ID","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","comment","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res","prev","x_new","y_new","cor"
"94",42,"111",12,6,"d","Niederelsungen","Wolfhagen","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",513046.503164906,5693090.16414175,"detected","",513046.5032,5693090.164,""
"95",43,"111",12,14,"d","Zierenberg","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",521140.915611519,5690926.39570626,"detected","",521140.9156,5690926.396,""
"96",44,"111",12,22,"do","Altenhasungen","Wolfhagen","Hessen-Nassau","j","j","j",NA,NA,"detected","","",516111.592321619,5687571.7039442,"detected","",516111.5923,5687571.704,""
"724",45,"111",21,2,"ao","Oberschledorn","Brilon","Westfalen","j","j","j","j",NA,"detected","","",480129.203312578,5677386.9095296,"detected","",480129.2033,5677386.91,""
"97",46,"111",21,3,"dr","Eppe","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",484005.670566952,5676038.84164352,"detected","",484005.6706,5676038.842,""
"98",47,"111",21,14,"d","Goddelsheim","des Eisenbergs","Hessen-Nassau","j","j","j",NA,NA,"detected","","",486557.70222437,5672161.46124883,"detected","",486557.7022,5672161.461,""
"807",48,"111",21,17,"ao","Medebach","Brilon","Westfalen","j","j","j",NA,NA,"detected","","",479367.342897236,5671907.28908675,"detected","",479367.3429,5671907.289,""
"808",49,"111",21,21,"cl","Medelon","Brilon","Westfalen","j","j","j",NA,NA,"detected","","",476886.58277568,5668726.14979938,"detected","",476886.5828,5668726.15,""
"99",50,"111",21,24,"dl","Rhadern","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",485681.696038079,5668694.13798155,"detected","",485681.696,5668694.138,""
"100",51,"111",21,25,"cr","Fürstenberg","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",488212.184025479,5668520.90322038,"detected","",488212.184,5668520.903,""
"2",52,"111",22,1,"du","Nieder-Ense","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"not detected","Nieder Ense","",490344.211095698,5675733.85300584,"detected","",490344.2111,5675733.853,""
"101",53,"111",22,13,"al","Marienhagen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",493797.230812996,5673281.93690624,"detected","",493797.2308,5673281.937,""
"102",54,"111",22,14,"al","Vöhl","Frankenberg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",496087.953848403,5672768.12462692,"detected","",496087.9538,5672768.125,""
"103",55,"111",22,25,"cr","Bringhausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",499832.213105589,5668852.1372811,"detected","",499832.2131,5668852.137,""
"1132",56,"111",23,1,"a","Sachsenhausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",500390.8801,5677025.919,"found"
"104",57,"111",23,8,"ad","Netze","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",506661.880406592,5674750.45887024,"detected","",506661.8804,5674750.459,""
"105",58,"111",23,12,"bu","Waldeck","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",504296.19981427,5672846.27709193,"detected","",504296.1998,5672846.277,""
"106",59,"111",23,23,"cu","Affoldern","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",505635.147477015,5668577.20458499,"detected","",505635.1475,5668577.205,""
"1133",60,"111",23,24,"du","Bergheim","der Eder","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",509515.5512,5668516.197,"found"
"107",61,"111",24,1,"al","Naumburg","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",511578.538152302,5677606.14079918,"detected","",511578.5382,5677606.141,""
"108",62,"111",24,7,"cl","Altendorf","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",514108.308638385,5673875.85763075,"detected","",514108.3086,5673875.858,""
"109",63,"111",24,15,"cr","Metze","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",523117.075843121,5672574.00476986,"detected","",523117.0758,5672574.005,""
"110",64,"111",24,23,"bo","Lohne","Fritzlar-Homberg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",518613.957402135,5669819.97674061,"detected","",518613.9574,5669819.977,""
"111",65,"111",24,24,"dl","Wehren","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",520631.8929753,5668615.50662564,"detected","",520631.893,5668615.507,""
"749",66,"111",27,1,"du","Dreislar","Brilon","Westfalen","j","j","j","j",NA,"detected","","",478191.479902248,5666485.15953812,"detected","",478191.4799,5666485.16,""
"1134",67,"111",27,12,"a","Neukirchen","des Eisenbergs","Hessen-Nassau","j","j",NA,NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",480267.2389,5664241.504,"found"
"112",68,"111",27,14,"a","Sachsenberg","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",485297.18121545,5663802.09970796,"detected","",485297.1812,5663802.1,""
"113",69,"111",27,21,"al","Somplar","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476654.246422933,5660653.4830813,"detected","",476654.2464,5660653.483,""
"114",70,"111",27,23,"ab","Hommershausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",483145.865324897,5660772.74223487,"detected","",483145.8653,5660772.742,""
"115",71,"111",28,2,"co","Buchenberg","Frankenberg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",491027.813998224,5667380.90668182,"detected","",491027.814,5667380.907,""
"116",72,"111",28,11,"bo","Ederbringhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",490630.430992414,5664212.2205094,"detected","",490630.431,5664212.221,""
"117",73,"111",28,20,"au","Frebershausen","der Eder","Hessen-Nassau","j","j",NA,"j",NA,"detected","","",498746.931039166,5662035.33061796,"detected","",498746.931,5662035.331,""
"118",74,"111",29,3,"bo","Mehlen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",507348.747438513,5668101.17719192,"detected","",507348.7474,5668101.177,""
"119",75,"111",29,9,"br","Anraff","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",509954.385765614,5665747.9706209,"detected","",509954.3858,5665747.971,""
"120",76,"111",29,11,"ar","Gellershausen","der Eder","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",501007.642092602,5664148.19199207,"detected","",501007.6421,5664148.192,""
"121",77,"111",29,12,"cd","Albertshausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",503842.821573927,5662559.27919673,"detected","",503842.8216,5662559.279,""
"1135",78,"111",29,14,"c","Bad Wildungen","der Eder","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",508706.6172,5663143.475,"found (two entries in Wenker but with same location, differ only in â€œorg_nameâ€)"
"122",79,"111",29,21,"ab","Hüddingen","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",501365.493396611,5660456.23754496,"detected","",501365.4934,5660456.238,""
"123",80,"111",29,23,"dr","Odershausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",507550.110590737,5659516.33632701,"detected","",507550.1106,5659516.336,""
"124",81,"111",30,3,"b","Haddamar","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",518537.454762923,5667773.4688946,"detected","",518537.4548,5667773.469,""
"125",82,"111",30,6,"a","Wellen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",512353.336251279,5665942.22131659,"detected","",512353.3363,5665942.221,""
"126",83,"111",30,11,"br","Mandern","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",514045.036762788,5663789.14318822,"detected","",514045.0368,5663789.143,""
"127",84,"111",30,15,"a","Obermöllrich","Fritzlar-Homberg","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522140.351314564,5664140.08499461,"detected","",522140.3513,5664140.085,""
"3",85,"111",30,24,"bu","Udenborn","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,"not detected","Adenborn","",521156.402843069,5660065.75665067,"detected","",521156.4028,5660065.757,""
"128",86,"111",32,18,"ad","Dodenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",471483.99649146,5652605.80638025,"detected","",471483.9965,5652605.806,""
"129",87,"111",32,20,"c","Battenfeld","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476173.665460574,5652103.87451676,"detected","",476173.6655,5652103.875,""
"979",88,"111",33,9,"b","Frankenberg","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"not detected","Frankenberg","Eder",999,999,"not detected","",999,999,""
"130",89,"111",33,13,"a","Röddenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",482650.624623262,5655091.74792609,"detected","",482650.6246,5655091.748,""
"1136",90,"111",34,1,"do","Geismar","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",490114.5736,5657930.043,"found"
"131",91,"111",34,16,"ar","Willersdorf","Frankenberg","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",489585.798668611,5652804.5280179,"detected","",489585.7987,5652804.528,""
"980",92,"111",34,18,"br","Halgehausen ","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"not detected","Halgehausen","Haina",999,999,"not detected","",999,999,""
"132",93,"111",34,24,"c","Grüsen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",496526.71695424,5649992.85983575,"detected","",496526.717,5649992.86,""
"133",94,"111",35,7,"dl","Armsfeld","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",504464.805152905,5655609.44068085,"detected","",504464.8052,5655609.441,""
"134",95,"111",35,8,"cr","Bergfreiheit","der Eder","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",506855.42905444,5655222.8439569,"detected","",506855.4291,5655222.844,""
"4",96,"111",35,15,"cr","Oberurff-Schiffelborn","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"not detected","Oberurff","",511358.819601105,5653773.99963644,"detected","",511358.8196,5653774,""
"135",97,"111",35,16,"bo","Battenhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",502047.591014131,5653261.49966033,"detected","",502047.591,5653261.5,""
"136",98,"111",36,2,"c","Kerstenhausen","Fritzlar-Homberg","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",515121.75037402,5656964.12026914,"detected","",515121.7504,5656964.12,""
"5",99,"111",36,3,"b","Grossenenglis","Fritzlar-Homberg","Hessen-Nassau",NA,NA,NA,"j",NA,"not detected","Großenenglis","",519298.903606508,5658635.02426593,"detected","",519298.9036,5658635.024,""
"137",100,"111",36,18,"ar","Nassenerfurth","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",518136.287339017,5652581.20484065,"detected","",518136.2873,5652581.205,""
"138",101,"112",1,4,"a","Hombressen","Hofgeismar","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",531614.223010492,5704926.93424316,"detected","",531614.223,5704926.934,""
"1137",102,"112",1,14,"bl","Udenhausen","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",532294.7568,5701616.958,"found"
"139",103,"112",2,3,"b","Veckerhagen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",541532.018395012,5705287.47021239,"detected","",541532.0184,5705287.47,""
"1138",104,"112",2,22,"cl","Holzhausen","Hofgeismar","Hessen-Nassau","j","j",NA,NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",537361.0926,5696602.379,"found"
"716",105,"112",2,25,"c","Hann. Münden",NA,"Hannover","j","j","j","j",NA,"not detected","Hannoversch Münden","",545181.477629446,5696131.86091904,"detected","",545181.4776,5696131.861,""
"783",106,"112",3,1,"c","Bühren","Münden","Hannover","j","j","j","j",NA,"detected","","",547181.294709775,5703968.75927536,"detected","",547181.2947,5703968.759,""
"883",107,"112",3,4,"au","Bördel","Münden","Hannover","j","j","j","j",NA,"detected","","",554843.373004879,5704368.18486669,"detected","",554843.373,5704368.185,""
"839",108,"112",3,12,"ar","Niederscheden","Münden","Hannover","j","j","j","j",NA,"detected","","",550049.609091524,5701104.42435648,"detected","",550049.6091,5701104.424,""
"854",109,"112",3,12,"b","Oberscheden","Münden","Hannover","j","j","j","j",NA,"detected","","",551137.443660744,5701404.41596869,"detected","",551137.4437,5701404.416,""
"840",110,"112",3,14,"bo","Jühnde","Münden","Hannover",NA,NA,NA,"j",NA,"detected","","",555477.973669998,5701572.23397274,"detected","",555477.9737,5701572.234,""
"825",111,"112",3,18,"bl","Meensen","Münden","Hannover","j","j","j","j",NA,"detected","","",552866.150690322,5699520.18206234,"detected","",552866.1507,5699520.182,""
"826",112,"112",3,22,"du","Lippoldshausen","Münden","Hannover","j","j","j","j",NA,"detected","","",550520.704788531,5696337.69434241,"detected","",550520.7048,5696337.694,""
"884",113,"112",4,1,"br","Mengershausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",560414.607900408,5704765.01947346,"detected","",560414.6079,5704765.019,""
"981",114,"112",4,3,"b","Klostergut Reinshof","Göttingen","Hannover","j","j",NA,NA,NA,"not detected","Reinshof","",999,999,"not detected","",999,999,""
"895",115,"112",4,4,"dr","Diemarden","Göttingen","Hannover","j","j","j","j",NA,"detected","","",568435.852949063,5704666.47314335,"detected","",568435.8529,5704666.473,""
"750",116,"112",4,6,"dl","Volkerode","Göttingen","Hannover","j","j","j","j",NA,"detected","","",575109.947986188,5679066.42579233,"detected","",575109.948,5679066.426,""
"855",117,"112",4,8,"bl","Niedernjesa","Göttingen","Hannover","j","j","j","j",NA,"detected","","",564288.071150168,5703199.73428262,"detected","",564288.0712,5703199.734,""
"868",118,"112",4,10,"cu","Reinhausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",568398.727967849,5702263.41916819,"detected","",568398.728,5702263.419,""
"827",119,"112",4,13,"a","Obernjesa","Göttingen","Hannover","j","j","j","j",NA,"detected","","",563600.428147345,5701533.80656128,"detected","",563600.4281,5701533.807,""
"828",120,"112",4,14,"co","Ballenhausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",565971.178519603,5700885.50184001,"detected","",565971.1785,5700885.502,""
"717",121,"112",4,23,"c","Friedland","Göttingen","Hannover","j","j","j","j",NA,"not detected","Friedland an der Leine","",563327.563800049,5697214.82270355,"detected","",563327.5638,5697214.823,""
"911",122,"112",5,1,"ao","Klein Lengden","Göttingen","Hannover","j","j","j","j",NA,"detected","","",569841.315039325,5705475.3247718,"detected","",569841.315,5705475.325,""
"982",123,"112",5,2,"cr","Benniehausen ","Göttingen","Hannover","j","j","j","j",NA,"not detected","Benniehausen","Gleichen",999,999,"not detected","",999,999,""
"935",124,"112",5,3,"co","Wöllmarshausen","Göttingen","Hannover","j","j",NA,"j",NA,"detected","","",575496.734442267,5704755.315914,"detected","",575496.7344,5704755.316,""
"922",125,"112",5,7,"ar","Gelliehausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",573059.474112593,5703295.93457199,"detected","",573059.4741,5703295.935,""
"948",126,"112",5,8,"bo","Rittmarshausen","Göttingen","Hannover",NA,NA,"j",NA,NA,"detected","","",576598.295476131,5704004.28364983,"detected","",576598.2955,5704004.284,""
"949",127,"112",5,8,"do","Kerstlingerode","Göttingen","Hannover","j","j","j","j",NA,"detected","","",576904.898627932,5703018.93208384,"detected","",576904.8986,5703018.932,""
"896",128,"112",5,12,"cu","Bremke","Göttingen","Hannover","j","j","j","j",NA,"detected","","",572408.202420232,5700250.01264235,"detected","",572408.2024,5700250.013,""
"983",129,"112",5,19,"da","Weißenborn ","Göttingen","Hannover","j","j","j","j",NA,"not detected","Weißenborn","Werra-Meißner",999,999,"not detected","",999,999,""
"856",130,"112",5,21,"a","Lichtenhagen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",569811.887519046,5698000.28182564,"detected","",569811.8875,5698000.282,""
"1238",131,"112",6,1,"a","Nesselröden","Duderstadt","Hannover","j","j","j","j",NA,"detected","","",999,999,"not an unique name","prev. not unique",582165.3203,5705492.786,"found (in Wenker: NesselrÃ¶den, distrct Osterode, was glaube quatsch ist) "
"976",132,"112",6,2,"do","Immingerode","Duderstadt","Hannover","j","j","j","j",NA,"detected","","",585451.548141282,5704968.53884631,"detected","",585451.5481,5704968.539,""
"984",133,"112",6,3,"bl","Gerblingerode ","Duderstadt","Hannover","j","j","j","j",NA,"not detected","Gerblingerode","Duderstadt",999,999,"not detected","",999,999,""
"985",134,"112",6,5,"cl","Wehnde ","Worbis","Pr. Sachsen","j","j","j","j",NA,"not detected","Wehnde","Eichsfeld",999,999,"not detected","",999,999,""
"986",135,"112",6,9,"dr","Tastungen ","Worbis","Pr. Sachsen","j","j","j","j",NA,"not detected","Tastungen","Eichsfeld",999,999,"not detected","",999,999,""
"923",136,"112",6,11,"d","Neuendorf","Worbis","Pr. Sachsen","j","j","j","j",NA,"detected","","",546254.058228555,5542944.37482475,"detected","",999,999,"false detected"
"977",137,"112",6,18,"dr","Hundeshagen","Worbis","Pr. Sachsen",NA,NA,NA,"j",NA,"detected","","",588804.237859726,5699085.7756618,"detected","",588804.2379,5699085.776,""
"962",138,"112",6,21,"bd","Reinholterode","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"not detected","Rheinholterode","",583154.667318011,5697633.30964707,"detected","",583154.6673,5697633.31,""
"952",139,"112",6,21,"cl","Günterode","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"detected","","",581189.940706867,5697423.64562356,"detected","",581189.9407,5697423.646,""
"1139",140,"112",6,22,"cr","Steinbach","Worbis","Pr. Sachsen","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",584647.927,5696912.613,"found"
"6",141,"112",7,2,"br","Calden","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"not detected","Kalden","",528140.114706522,5695408.73503867,"detected","",528140.1147,5695408.735,""
"140",142,"112",7,6,"ar","Ehrsten","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"detected","","",524170.166806268,5693631.19508558,"detected","",524170.1668,5693631.195,""
"141",143,"112",7,9,"bo","Hohenkirchen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",533016.75971091,5694181.25153583,"detected","",533016.7597,5694181.252,""
"142",144,"112",7,12,"d","Weimar","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",527345.158788501,5690599.97282461,"detected","",527345.1588,5690599.973,""
"725",145,"112",8,12,"b","Speele","Münden","Hannover","j","j","j","j",NA,"detected","","",539162.9459576,5691967.04655685,"detected","",539162.946,5691967.047,""
"784",146,"112",8,14,"co","Lutterberg","Münden","Hannover","j","j","j","j",NA,"detected","","",543134.61957864,5691454.10163004,"detected","",543134.6196,5691454.102,""
"143",147,"112",8,16,"d","Ihringshausen","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",536637.441957189,5688912.11163106,"detected","",536637.442,5688912.112,""
"751",148,"112",8,18,"dl","Landwehrhagen","Münden","Hannover","j","j","j","j",NA,"detected","","",541252.274443336,5689225.33147046,"detected","",541252.2744,5689225.331,""
"726",149,"112",9,8,"d","Hedemünden","Münden","Hannover","j","j","j","j",NA,"detected","","",553403.239216828,5693364.10249514,"detected","",553403.2392,5693364.102,""
"144",150,"112",9,9,"dl","Blickershausen","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",555124.993873045,5692448.15316142,"detected","",555124.9939,5692448.153,""
"727",151,"112",10,1,"au","Mollenfelde","Göttingen","Hannover","j","j","j","j",NA,"detected","","",558666.601464888,5695568.52654998,"detected","",558666.6015,5695568.527,""
"145",152,"112",10,1,"d","Hermannrode","Witzenhausen","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",559923.341941153,5695171.61424507,"detected","",559923.3419,5695171.614,""
"809",153,"112",10,4,"bd","Reiffenhausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",567361.97105186,5695553.65596452,"detected","",567361.9711,5695553.656,""
