ID,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname,Kreis,Land,I,II,III,IV,comment,RES_1st_run,Ortsname_old,Stadt.oder.Gemeinde.oder.Landkreis,x,y,res,prev,x_new,y_new,cor,cor.Lvl.4,final_check
1247,151,33,12,co,Gorxheim,Heppenheim,Hessen,NA,j,NA,NA,NA,not detected,Gorxheim,Gorxheimertal,99999,99999,not detected,NANA,478986.49,5487426.83,f,,999
1237,151,31,11,d,Frankenthal,NA,RegBez. Pfalz (Bayern),j,NA,j,j,"Kreis nicht angegeben, vermutlich aber Frankenthal",not detected,Frankenthal,Pfalz,99999,99999,not detected,NANA,453411.07,5487432.12,f,,999
1249,151,33,14,a,Ober-Abtsteinach,Heppenheim,Hessen,j,j,j,j,NA,not detected,Ober-Abtsteinach,Abtsteinach,99999,99999,not detected,NANA,484512.97,5487904.07,f,,999
1263,151,36,13,al,Steinbach,AB. Buchen,Baden,j,NA,NA,NA,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,517599.3393,5488461.268,found,,999
1250,151,33,14,bo,Siedelsbrunn,Heppenheim,Hessen,j,j,j,j,NA,not detected,Siedelsbrunn,Wald-Michelbach,99999,99999,not detected,NANA,486299.01,5488545.47,f,,999
1236,151,31,7,c,M<f6>rsch,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,NA,NA,NA,not detected,M<f6>rsch,Frankenthal,99999,99999,not detected,NANA,455100.32,5488933.16,f,,999
1245,151,33,6,c,Weinheim,AB. Weinheim,Baden,j,j,j,NA,NA,detected,,,476182.8895,5489196.447,detected,,476182.8895,5489196.447,,,999
1246,151,33,7,a,Birkenau,Heppenheim,Hessen,j,j,j,j,NA,detected,,,479013.5936,5489896.337,detected,,479013.5936,5489896.337,,,999
1243,151,33,2,d,Hornbach,Heppenheim,Hessen,j,j,j,j,NA,detected,,,999,999,not an unique name,prev. not unique,480469.7973,5490624.689,found,,999
1254,151,34,4,du,Beerfelden,Erbach,Hessen,j,j,j,j,NA,detected,,,498098.3362,5490645.569,detected,,498098.3362,5490645.569,,,999
1260,151,36,1,c,M<f6>rschenhardt,AB. Buchen,Baden,NA,NA,NA,j,NA,detected,,,512443.8371,5490715.051,detected,,512443.8371,5490715.051,,,999
1244,151,33,5,cr,Wald-Michelbach,Heppenheim,Hessen,NA,j,j,j,NA,not detected,Waldmichelbach,,487260.7761,5491171.559,detected,,487260.7761,5491171.559,,,999
1242,151,33,2,b,Reisen,Heppenheim,Hessen,j,j,j,j,NA,detected,,,479599.2152,5491784.131,detected,,479599.2152,5491784.131,,,999
1235,151,31,1,br,Roxheim,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,j,NA,NA,detected,,,454095.2077,5491995.132,detected,,454095.2077,5491995.132,,,cleaned
1261,151,36,3,b,Hettigenbeuern,AB. Buchen,Baden,j,NA,NA,NA,NA,detected,,,519069.7964,5492012.776,detected,,519069.7964,5492012.776,,,999
1226,151,29,14,cl,Breitenbach,BA. Miltenberg,RegBez. Unterfranken (Bayern),NA,NA,j,j,NA,multiple entires detected,,,999,999,multiple entires detected,,509901.99,5492282.15,false detected 2nd,found,999
1199,151,25,21,d,Bobenheim-Roxheim,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,j,j,"Eigentlich Bobenheim, ist auf dem Zettel aber als Babenheim vermerkt",not detected,Babenheim,,453809.5383,5492408.929,detected,,453809.5383,5492408.929,,,999
1213,151,27,22,cu,Nieder-Liebersbach,Heppenheim,Hessen,j,j,NA,NA,NA,not detected,Nieder Liebersbach,,478502.9274,5492433.184,detected,,478502.9274,5492433.184,,,999
1221,151,28,21,cl,Hartenrod,Heppenheim,Hessen,j,j,j,j,NA,detected,,,462066.6106,5623007.536,detected,,488035.55,5492511.26,false detected,found,999
1215,151,27,25,co,Gadern,Heppenheim,Hessen,j,j,NA,j,NA,detected,,,486584.8598,5492674.074,detected,,486584.8598,5492674.074,,,999
1214,151,27,23,d,Weiher,Heppenheim,Hessen,j,j,j,j,NA,not detected,Weiher,M<f6>rlenbach,99999,99999,not detected,NANA,482927.04,5492804.24,f,,999
1234,151,30,24,ad,Hornbach,AB. Buchen,Baden,j,NA,NA,NA,NA,detected,,,999,999,not an unique name,prev. not unique,520966.4474,5493198.241,found,,999
1203,151,26,25,a,Hemsbach,AB. Weinheim,Baden,NA,NA,NA,j,NA,detected,,,474495.327,5493328.81,detected,,474495.327,5493328.81,,,999
1220,151,28,21,b,Affolterbach,Heppenheim,Hessen,j,NA,NA,NA,NA,detected,,,489492.8503,5493879.509,detected,,489492.8503,5493879.509,,,999
1202,151,26,18,cu,H<fc>ttenfeld,Bensheim,Hessen,j,j,j,j,NA,detected,,,470105.1328,5494062.722,detected,,470105.1328,5494062.722,,,999
1218,151,28,16,cu,Kocherbach,Heppenheim,Hessen,j,j,NA,j,NA,detected,,,487881.9145,5494127.451,detected,,487881.9145,5494127.451,,,999
1233,151,30,17,d,Beuchen,BA. Miltenberg,RegBez. Unterfranken (Bayern),NA,NA,j,j,NA,detected,,,516562.0352,5494161.408,detected,,516562.0352,5494161.408,,,999
1211,151,27,18,d,Zotzenbach,Heppenheim,Hessen,NA,NA,NA,j,NA,not detected,Zotzenbach,Rimbach,99999,99999,not detected,NANA,483156.75,5494490.06,f,,999
1201,151,26,10,au,Heppenheim,Heppenheim,Hessen,j,j,j,j,NA,detected,,,446771.3553,5494930.455,detected,,446771.3553,5494930.455,,,999
1227,151,29,17,au,Bullau,Erbach,Hessen,j,j,j,NA,NA,multiple entires detected,,,999,999,multiple entires detected,,504052.6292,5495705.288,found,,999
1212,151,27,20,a,Ober-Scharbach,Heppenheim,Hessen,j,j,NA,NA,NA,not detected,Ober Scharbach,,487365.3612,5495729.583,detected,,487365.3612,5495729.583,,,999
1210,151,27,16,a,Ober-Laudenbach,Heppenheim,Hessen,j,j,j,j,NA,not detected,Ober Laudenbach,,476168.2491,5495756.036,detected,,476168.2491,5495756.036,,,999
1219,151,28,18,ao,G<fc>ttersbach,Erbach,Hessen,j,j,j,j,NA,not detected,H<fc>ttersbach,,493722.5394,5495829.697,detected,,493722.5394,5495829.697,,,999
1230,151,30,11,c,Kirchzell,BA. Miltenberg,RegBez. Unterfranken (Bayern),j,j,NA,j,NA,detected,,,512778.0974,5496163.511,detected,,512778.0974,5496163.511,,,999
1231,151,30,14,d,Rippberg,AB. Buchen,Baden,j,j,j,j,NA,detected,,,521494.6415,5496702.426,detected,,521494.6415,5496702.426,,,999
1232,151,30,15,a,Gerolzahn,AB. Buchen,Baden,j,NA,NA,NA,NA,not detected,Gerolzahn,Walld<fc>rn,99999,99999,not detected,NANA,523062.9,5496973.95,f,,999
1209,151,27,12,b,Albersbach,Heppenheim,Hessen,j,NA,NA,NA,NA,not detected,Albersbach,Rimbach,99999,99999,not detected,NANA,480324.97,5497223.15,f,,999
1217,151,28,11,b,Grasellenbach,Heppenheim,Hessen,j,j,j,j,NA,not detected,Gras-Ellenbach,,489766.5509,5497236.546,detected,,489766.5509,5497236.546,,,999
1208,151,27,10,dl,Hammelbach,Heppenheim,Hessen,j,NA,NA,NA,NA,detected,,,487927.0899,5498196.453,detected,,487927.0899,5498196.453,,,999
1207,151,27,8,dr,Fahrenbach,Heppenheim,Hessen,j,j,j,j,NA,detected,,,483263.0741,5498375.595,detected,,483263.0741,5498375.595,,,999
1204,151,27,6,c,Erbach,Heppenheim,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,multiple entires detected,,476259.572,5498468.409,found,,999
1205,151,27,6,d,Sonderbach,Heppenheim,Hessen,j,j,j,j,NA,detected,,,477508.9625,5498529.797,detected,,477508.9625,5498529.797,,,999
1229,151,30,8,co,Schneeberg,BA. Miltenberg,RegBez. Unterfranken (Bayern),j,j,j,NA,NA,detected,,,517891.2389,5498668.34,detected,,517891.2389,5498668.34,,,999
1228,151,30,7,ad,Amorbach,BA. Miltenberg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,detected,,,515977.2776,5498884.727,detected,,515977.2776,5498884.727,,,999
1198,151,25,9,au,B<fc>rstadt,Bensheim,Hessen,j,j,j,j,NA,detected,,,460377.7597,5498950.226,detected,,460377.7597,5498950.226,,,999
1206,151,27,8,al,Mitlechtern,Heppenheim,Hessen,NA,j,j,j,NA,detected,,,480890.2601,5499150.562,detected,,480890.2601,5499150.562,,,999
1225,151,29,6,ab,Erlenbach,Erbach,Hessen,j,j,j,j,NA,detected,,,999,999,not an unique name,prev. not unique,500887.968,5499228.174,found,,999
1200,151,26,2,du,Lorsch,Bensheim,Hessen,j,j,j,NA,NA,detected,,,468773.3388,5499973.894,detected,,468773.3388,5499973.894,,,999
1224,151,29,3,cl,W<fc>rzberg,Erbach,Hessen,j,j,j,NA,NA,detected,,,505817.775,5500109.524,detected,,505817.775,5500109.524,,,999
1216,151,28,8,b,Unter-Mossau,Erbach,Hessen,j,j,j,j,NA,not detected,Unter Mossau,,494904.5344,5500642.453,detected,,494904.5344,5500642.453,,,999
1197,151,25,3,co,Hofheim,Bensheim,Hessen,j,j,j,j,NA,detected,,,999,999,not an unique name,prev. not unique,457387.6122,5500662.867,found,,999
1222,151,29,1,au,Dorf-Erbach,Erbach,Hessen,j,j,j,j,NA,detected,,,500995.9608,5500840.272,detected,,500995.9608,5500840.272,,,999
1223,151,29,2,bl,Ernsbach,Erbach,Hessen,j,NA,NA,NA,NA,detected,,,503875.3007,5501241.806,detected,,503875.3007,5501241.806,,,999
1179,151,21,23,du,Ellenbach,Heppenheim,Hessen,j,j,j,j,NA,detected,,,483272.6038,5501466.335,detected,,483272.6038,5501466.335,,,999
1188,151,22,23,bu,Ober-Mossau,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Ober Mossau,,494610.39,5502421.589,detected,,494610.39,5502421.589,,,999
1187,151,22,22,co,Erzbach,Erbach,Hessen,j,j,NA,NA,NA,detected,,,490375.2808,5502483.041,detected,,490375.2808,5502483.041,,,999
1186,151,22,19,cu,Steinbuch,Erbach,Hessen,j,j,j,j,NA,detected,,,496450.8135,5503331.735,detected,,496450.8135,5503331.735,,,999
1177,151,21,18,du,Schlierbach,Bensheim,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,483105.6836,5503479.196,found,,999
1160,151,19,17,cu,Nordheim,Bensheim,Hessen,j,j,j,j,NA,detected,,,455859.5649,5503588.119,detected,,455859.5649,5503588.119,,,999
1178,151,21,19,c,Lindenfels,Bensheim,Hessen,j,j,j,j,NA,detected,,,484007.944,5503665.464,detected,,484007.944,5503665.464,,,999
1161,151,19,18,cl,Wattenheim,Bensheim,Hessen,j,NA,NA,NA,NA,detected,,,457296.4779,5503754.503,detected,,457296.4779,5503754.503,,,999
1176,151,21,17,dl,Schannenbach,Bensheim,Hessen,NA,j,j,j,NA,detected,,,479876.5416,5504179.537,detected,,479876.5416,5504179.537,,,999
1175,151,21,17,bl,Knoden,Bensheim,Hessen,NA,j,j,j,NA,not detected,Knoden,Lautertal,99999,99999,not detected,NANA,479807.37,5504666.73,f,,999
1185,151,22,16,b,Unter-Ostern,Erbach,Hessen,j,j,NA,j,NA,detected,,,489939.2362,5504674.056,detected,,489939.2362,5504674.056,,,999
1159,151,19,11,du,Rheind<fc>rkheim,Worms,Hessen,j,j,j,j,NA,detected,,,453694.9236,5505229.488,detected,,453694.9236,5505229.488,,,999
1167,151,20,14,du,Auerbach,Bensheim,Hessen,j,j,j,j,NA,detected,,,472691.6498,5505433.972,detected,,472691.6498,5505433.972,,,999
1196,151,24,13,dl,Miltenberg,BA. Miltenberg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,detected,,,518495.894,5505552.368,detected,,518495.894,5505552.368,,,999
1174,151,21,15,c,Klein-Gumpen,Erbach,Hessen,j,j,j,j,NA,detected,,,487236.8789,5505591.417,detected,,487236.8789,5505591.417,,,999
1166,151,20,13,cl,Fehlheim,Bensheim,Hessen,j,j,j,j,NA,detected,,,469015.4735,5505709.47,detected,,469015.4735,5505709.47,,,999
1191,151,23,12,c,Weiten-Ges<e4><df>,Erbach,Hessen,j,j,j,j,NA,not detected,Weiten-Ges<e4><df>,Michelstadt,99999,99999,not detected,NANA,503381.66,5505777.35,f,,999
1184,151,22,14,au,Rehbach,Erbach,Hessen,j,NA,NA,NA,NA,detected,,,496510.3001,5506088.928,detected,,496510.3001,5506088.928,,,999
1173,151,21,13,do,Kolmbach,Bensheim,Hessen,j,j,j,j,NA,detected,,,482443.3928,5506127.378,detected,,482443.3928,5506127.378,,,999
1183,151,22,11,a,Reichelsheim,NA,Hessen,NA,j,NA,NA,NA,not detected,Reichelsheim,Odenwald,99999,99999,not detected,NANA,488492,5506652,false detected 2nd,found,handsome corrected
1192,151,23,13,b,Vielbrunn,Erbach,Hessen,j,j,j,j,NA,detected,,,507079.4981,5506737.27,detected,,507079.4981,5506737.27,,,999
1172,151,21,11,b,Reichenbach,Bensheim,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,477853.0628,5506755.697,found,,999
1168,151,20,15,ao,Hochst<e4>dten,Bensheim,Hessen,j,j,j,j,NA,detected,,,474911.8843,5506812.997,detected,,474911.8843,5506812.997,,,999
1195,151,24,8,du,B<fc>rgstadt,BA. Miltenberg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,detected,,,519233.2031,5507078.104,detected,,519233.2031,5507078.104,,,999
1163,151,20,7,cu,Langwaden,Bensheim,Hessen,j,j,j,j,NA,not detected,Langwaden,Bensheim,99999,99999,not detected,NANA,467665.12,5507397.01,f,,999
1182,151,22,9,c,Langen-Brombach,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Langen-Brombach,Brombachtal,99999,99999,not detected,NANA,496602.98,5507846.01,f,,999
1181,151,22,2,du,Ober-Kainsbach,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Ober Kainsbach,,492900.5072,5507982.505,detected,,492900.5072,5507982.505,,,999
1164,151,20,9,cl,Zwingenberg,Bensheim,Hessen,NA,j,j,j,NA,detected,,,472084.9135,5508038.713,detected,,472084.9135,5508038.713,,,999
1190,151,23,6,au,Momart,Erbach,Hessen,j,j,NA,j,NA,detected,,,500951.3631,5508211.409,detected,,500951.3631,5508211.409,,,999
1165,151,20,10,ao,Balkhausen,Bensheim,Hessen,j,j,j,j,NA,detected,,,475504.7372,5508778.189,detected,,475504.7372,5508778.189,,,999
1158,151,19,5,cu,Klein-Rohrheim,Gro<df> Gerau,Hessen,j,j,j,j,NA,not detected,Klein-Rohrhein,,463270.0728,5509158.716,detected,,463270.0728,5509158.716,,,999
1162,151,20,3,cl,H<e4>hnlein,Bensheim,Hessen,j,j,j,j,NA,detected,,,469303.1439,5509387.964,detected,,469303.1439,5509387.964,,,999
1170,151,21,3,b,L<fc>tzelbach,Dieburg,Hessen,j,j,j,j,NA,detected,,,483190.7735,5509971.841,detected,,483190.7735,5509971.841,,,999
1189,151,23,1,co,Bad K<f6>nig,Erbach,Hessen,j,j,j,j,NA,not detected,K<f6>nig,,500288.1853,5510212.563,detected,,500288.1853,5510212.563,,,999
1193,151,24,1,a,Laudenbach,BA. Miltenberg,RegBez. Unterfranken (Bayern),NA,NA,NA,j,NA,detected,,,556908.6294,5675984.789,detected,,512581.79,5510223.49,false detected,found,999
1180,151,22,1,b,Fr<e4>nkisch-Crumbach,Dieburg,Hessen,j,j,j,NA,NA,not detected,Fr<e4>nkisch Crumbach,,489704.8798,5510378.005,detected,,489704.8798,5510378.005,,,999
1171,151,21,4,b,Steinau,Dieburg,Hessen,j,j,j,j,NA,detected,,,551954.7052,5604701.355,detected,,485189.39,5510509.61,false detected,found,999
1119,151,13,23,cu,Eich,Worms,Hessen,j,j,j,NA,NA,detected,,,999,999,not an unique name,prev. not unique,456957.2338,5510984.222,found,,999
1194,151,24,5,au,Freudenberg,AB. Wertheim,Baden,NA,j,j,j,NA,detected,,,523433.2728,5511041.587,detected,,523433.2728,5511041.587,,,999
1126,151,14,24,c,Bickenbach,Bensheim,Hessen,j,j,j,j,NA,detected,,,472080.5094,5511374.199,detected,,472080.5094,5511374.199,,,999
1120,151,13,25,c,Gernsheim,Gro<df> Gerau,Hessen,j,j,j,j,NA,detected,,,462644.3924,5511431.157,detected,,462644.3924,5511431.157,,,999
1153,151,17,21,bu,F<fc>rstengrund,Erbach,Hessen,j,NA,NA,NA,NA,detected,,,502369.6464,5511758.474,detected,,502369.6464,5511758.474,,,999
1146,151,16,25,bu,Etzen-Ges<e4><df>,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Etzen-Ges<e4><df>,Bad K<f6>nig,99999,99999,not detected,NANA,499564.83,5511962.49,f,,999
1145,151,16,19,cu,Ober-Kinzig,Erbach,Hessen,j,j,j,j,"Eigentlich Ober-Kinzig, auf dem Zettel aber als Oberkinzig vermerkt",not detected,Oberkinzig,,496139.9054,5512437.531,detected,,496139.9054,5512437.531,,,999
1154,151,17,23,bu,Haingrund,Erbach,Hessen,j,j,j,j,NA,detected,,,507374.3872,5512530.127,detected,,507374.3872,5512530.127,,,999
1117,151,13,16,cu,Alsheim,Worms,Hessen,j,j,j,j,NA,detected,,,452469.0588,5512634.024,detected,,452469.0588,5512634.024,,,999
1127,151,14,25,ao,Seeheim-Jugenheim,Bensheim,Hessen,j,j,j,NA,NA,not detected,Seeheim,,999,999,multiple entires detected,,474414.5493,5512930.318,"found (two entries in Wenker but with same location, differ only in “org_name”)",,999
1136,151,15,19,do,Lichtenberg,Dieburg,Hessen,j,j,NA,NA,NA,detected,,,486052.7817,5513388.065,detected,,486052.7817,5513388.065,,,999
1135,151,15,17,au,Neutsch,Dieburg,Hessen,j,j,j,j,NA,detected,,,479401.0401,5513787.346,detected,,479401.0401,5513787.346,,,999
1143,151,16,16,bu,Wersau,Dieburg,Hessen,j,j,j,j,NA,detected,,,490194.0522,5513945.984,detected,,490194.0522,5513945.984,,,999
1144,151,16,18,br,Hummetroth,Erbach,Hessen,j,j,j,j,NA,detected,,,495521.9995,5514172.419,detected,,495521.9995,5514172.419,,,999
1118,151,13,17,ao,Gimbsheim,Worms,Hessen,j,NA,NA,NA,NA,detected,,,455067.6588,5514201.768,detected,,455067.6588,5514201.768,,,999
1116,151,13,14,du,Biebesheim am Rhein,Gro<df> Gerau,Hessen,j,j,j,j,NA,not detected,Biebesheim,,461483.2101,5514263.402,detected,,461483.2101,5514263.402,,,999
1157,151,18,16,ar,Klingenberg am Main,BA. Obernburg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,not detected,Klingenberg,,513109.7304,5514308.769,detected,,513109.7304,5514308.769,,,999
1151,151,17,12,cu,Rimhorn,Erbach,Hessen,j,j,j,j,NA,detected,,,502929.8432,5514716.142,detected,,502929.8432,5514716.142,,,999
1152,151,17,13,c,L<fc>tzel-Wiebelsbach,Erbach,Hessen,j,j,j,j,NA,detected,,,505542.6154,5515040.615,detected,,505542.6154,5515040.615,,,999
1134,151,15,13,cl,Ober-Modau,Dieburg,Hessen,j,j,j,j,NA,not detected,Obermodau,,481299.5433,5515203.565,detected,,481299.5433,5515203.565,,,999
1142,151,16,13,do,Hassenroth,Erbach,Hessen,j,j,j,j,NA,detected,,,495314.231,5515339.991,detected,,495314.231,5515339.991,,,999
1125,151,14,12,bu,Hahn,Darmstadt,Hessen,j,j,j,j,NA,detected,,,468051.7066,5515888.319,detected,,468051.7066,5515888.319,,,999
1133,151,15,13,bo,Rohrbach,Dieburg,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,multiple entires detected,,482929.4228,5516187.683,found,,999
1132,151,15,13,ao,Nieder-Modau,Dieburg,Hessen,j,j,j,j,NA,not detected,Niedermodau,,481152.0723,5516260.304,detected,,481152.0723,5516260.304,,,999
1115,151,13,11,a,Guntersblum,Oppenheim,Hessen,j,j,j,j,NA,detected,,,452918.6439,5516288.161,detected,,452918.6439,5516288.161,,,999
1141,151,16,10,cu,H<f6>chst,Erbach,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,multiple entires detected,,499549.72,5516325.56,"not found (probably “Höchst im Odenwald”, which is not in wenker)",found,999
1131,151,15,10,cu,Gro<df>-Bieberau,Dieburg,Hessen,j,j,j,j,NA,not detected,Gro<df>-Bieberau,Darmstadt-Dieburg,99999,99999,not detected,NANA,487317.75,5516462.02,f,,999
1124,151,14,7,d,Eich,Darmstadt,Hessen,j,NA,NA,NA,NA,detected,,,999,999,not an unique name,prev. not unique,468386.81,5516867.9,not found,found,999
1130,151,15,9,co,Wembach-Hahn,Dieburg,Hessen,j,j,j,j,NA,not detected,Wembach-Hahn,Ober-Ramstadt,99999,99999,not detected,NANA,484500.03,5517073.94,f,,999
1150,151,17,10,c,Erlenbach,BA. Obernburg,RegBez. Unterfranken (Bayern),j,j,j,NA,NA,detected,,,999,999,not an unique name,prev. not unique,511420.43,5517315.14,"not found, probably “Erlenbach am Main” ",found,999
1140,151,16,7,bl,Ober-Klingen,Dieburg,Hessen,j,NA,NA,NA,NA,not detected,Ober Klingen,,492070.9302,5517322.799,detected,,492070.9302,5517322.799,,,999
1122,151,14,6,au,Crumstadt,Gro<df> Gerau,Hessen,j,j,j,j,NA,detected,,,465061.0732,5517541.259,detected,,465061.0732,5517541.259,,,999
1114,151,13,9,b,Stockstadt am Rhein,Gro<df> Gerau,Hessen,j,j,j,j,NA,not detected,Stockstadt,,461658.4061,5517642.192,detected,,461658.4061,5517642.192,,,999
1123,151,14,7,b,Eschollbr<fc>cken,Darmstadt,Hessen,NA,j,j,j,NA,detected,,,468811.3271,5517807.36,detected,,468811.3271,5517807.36,,,999
1149,151,17,2,du,Rai-Breitenbach,Erbach,Hessen,j,j,NA,NA,NA,detected,,,503762.59,5518007.608,detected,,503762.59,5518007.608,,,999
1148,151,17,2,cu,Neustadt,Erbach,Hessen,j,j,j,NA,NA,not detected,Neustadt,Breuberg,99999,99999,not detected,NANA,502811.2,5518056.53,f,,999
1147,151,17,1,cu,Sandbach,Erbach,Hessen,j,j,j,j,NA,detected,,,501287.6584,5518473.41,detected,,501287.6584,5518473.41,,,999
1121,151,14,5,c,Eberstadt,Darmstadt,Hessen,NA,j,j,NA,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,474592.1531,5518533.089,found,,999
1139,151,16,4,co,Wiebelsbach,Dieburg,Hessen,j,NA,NA,NA,NA,detected,,,495871.2184,5518941.797,detected,,495871.2184,5518941.797,,,999
1138,151,16,1,co,Ueberau,Dieburg,Hessen,j,j,j,j,NA,detected,,,488973.543,5519151.614,detected,,488973.543,5519151.614,,,999
1156,151,18,3,co,Sommerau,BA. Obernburg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,detected,,,518383.8565,5519394.038,detected,,518383.8565,5519394.038,,,999
1128,151,15,2,cl,Nieder-Ramstadt,Darmstadt,Hessen,j,j,NA,NA,NA,not detected,Nieder Ramstadt,,478631.3323,5519416.157,detected,,478631.3323,5519416.157,,,999
